"GEOID10","violation_count.2007","violation_count.2008","violation_count.2009","violation_count.2010","violation_count.2011","violation_count.2012"
"250250001002",8,40,176,234,106,28
"250250001003",2,150,262,150,206,58
"250250003021",4,88,528,820,362,108
"250250004011",14,50,176,154,166,12
"250250004012",6,58,124,120,200,6
"250250004014",10,134,184,278,106,42
"250250004022",4,116,180,342,306,88
"250250005021",6,54,138,114,84,4
"250250005023",22,122,266,464,330,28
"250250005031",4,42,80,124,174,28
"250250005032",8,42,116,120,154,NA
"250250005041",2,40,94,218,212,8
"250250005042",8,82,114,148,310,72
"250250005043",6,178,296,212,350,34
"250250005044",2,56,130,86,38,6
"250250006011",2,132,650,508,594,362
"250250006012",4,36,140,138,92,58
"250250006013",2,54,164,84,82,36
"250250006021",6,226,614,864,810,200
"250250006022",8,124,246,390,508,190
"250250007015",12,126,78,348,218,90
"250250008021",12,1000,1368,2134,1602,500
"250250008022",6,624,818,1664,1468,484
"250250008023",6,118,230,394,302,86
"250250008024",8,464,840,916,610,194
"250250101033",4,NA,16,2,28,6
"250250101042",40,44,52,162,108,12
"250250104041",2,502,652,1024,1200,282
"250250108013",2,76,260,446,552,294
"250250303002",2,76,56,164,210,132
"250250402002",2,10,6,20,16,12
"250250403005",2,4,22,234,18,4
"250250406001",12,42,160,94,148,12
"250250406002",8,20,130,122,120,40
"250250501011",2,330,360,662,618,380
"250250501013",8,338,204,408,418,128
"250250502001",6,224,394,504,574,438
"250250502002",4,90,216,388,156,88
"250250502003",2,42,52,150,154,104
"250250503001",2,110,306,426,106,58
"250250504002",4,176,420,714,440,150
"250250505001",12,150,372,472,228,72
"250250506001",4,62,134,206,260,90
"250250506002",4,172,874,632,338,210
"250250507001",2,172,404,654,324,272
"250250507003",4,116,406,606,250,66
"250250509012",4,242,360,472,348,244
"250250510001",4,42,116,158,310,90
"250250510003",2,24,106,58,112,22
"250250511011",18,110,686,88,202,22
"250250511012",2,110,316,76,168,290
"250250511014",2,112,76,88,94,28
"250250512002",10,274,698,1022,634,124
"250250601011",24,14,516,436,332,76
"250250605011",4,20,124,160,70,20
"250250605012",2,62,228,196,76,38
"250250605015",2,162,536,1092,216,292
"250250606001",26,94,2280,772,632,226
"250250608001",6,50,184,394,130,44
"250250608003",12,82,940,744,304,248
"250250608004",24,154,1260,1138,412,192
"250250610001",4,56,514,500,350,134
"250250612001",2,52,698,438,654,278
"250250612002",4,92,440,1276,370,194
"250250612003",2,60,126,232,304,156
"250250701012",2,14,12,NA,16,2
"250250801001",10,458,446,2176,636,68
"250250803001",2,532,698,638,324,156
"250250809002",60,458,706,1238,1496,296
"250250809003",46,206,284,502,524,54
"250250810012",8,26,36,312,218,44
"250250810013",10,168,246,476,672,50
"250250810014",40,416,614,1158,654,130
"250250811001",14,250,638,516,634,136
"250250811002",34,316,690,1318,982,84
"250250813001",4,72,168,644,140,174
"250250813002",2,20,110,372,124,12
"250250813003",6,96,508,638,132,22
"250250814001",2,82,128,1062,230,68
"250250814002",4,28,214,50,176,44
"250250814003",8,130,148,738,376,130
"250250815001",4,50,184,2320,352,152
"250250817003",6,6,32,96,22,NA
"250250817004",2,34,54,154,180,92
"250250817005",2,32,74,636,72,50
"250250818002",26,190,274,970,384,60
"250250818003",6,216,788,1650,422,162
"250250819001",2,36,136,36,38,12
"250250819004",16,32,102,220,436,50
"250250820001",22,56,240,452,412,40
"250250820003",2,18,64,80,32,NA
"250250821001",2,10,244,600,184,88
"250250821002",8,12,110,138,116,92
"250250821003",12,112,208,434,152,88
"250250901002",2,10,172,28,116,50
"250250901003",4,16,40,132,152,24
"250250901004",2,120,82,230,226,22
"250250901005",6,38,96,236,106,34
"250250902002",22,22,50,20,10,6
"250250902003",30,328,1494,1388,468,38
"250250903001",18,20,68,272,50,58
"250250903002",12,212,636,400,506,124
"250250903003",10,66,100,398,366,116
"250250904001",2,32,58,152,200,52
"250250904002",62,164,678,1292,894,134
"250250906001",4,10,160,270,206,88
"250250906002",8,280,312,1016,248,120
"250250907001",8,54,50,152,216,38
"250250907002",8,46,94,264,198,30
"250250907004",4,48,324,664,594,150
"250250910011",8,402,858,1100,612,420
"250250910012",12,30,154,90,76,40
"250250911001",4,50,342,290,170,26
"250250911002",18,70,184,314,408,86
"250250911003",8,50,68,84,204,22
"250250911004",2,54,154,284,114,100
"250250912002",6,22,194,424,128,296
"250250913001",20,204,798,808,258,182
"250250913002",40,216,460,556,218,98
"250250914001",8,68,150,160,212,28
"250250915001",22,128,254,402,380,180
"250250915002",20,156,210,528,412,146
"250250915003",52,144,152,572,220,68
"250250916001",4,68,238,266,256,114
"250250916002",38,314,986,1458,724,404
"250250916003",38,92,230,330,456,76
"250250917001",16,140,868,922,334,182
"250250917002",2,104,274,196,324,256
"250250917003",10,138,286,272,204,226
"250250918001",16,324,666,888,926,372
"250250918002",8,162,366,330,360,28
"250250919001",2,14,52,214,92,58
"250250919002",20,48,82,224,156,70
"250250919003",2,216,158,426,638,276
"250250920001",8,192,256,324,120,62
"250250920002",22,128,346,594,180,298
"250250920003",8,118,204,674,274,206
"250250920004",6,76,224,404,212,220
"250250921011",8,92,136,230,204,56
"250250921012",20,542,858,478,618,138
"250250921014",10,144,190,340,252,30
"250250921015",14,556,966,1032,1136,612
"250250922001",2,94,118,118,74,28
"250250922002",4,44,42,76,62,8
"250250922004",4,44,154,200,106,42
"250250923001",10,58,140,98,286,54
"250250923002",12,178,586,540,164,54
"250250923003",10,106,574,592,70,102
"250250923004",4,218,930,672,160,94
"250250924001",22,330,630,536,182,138
"250250924002",6,214,548,1344,598,340
"250250924003",4,114,496,460,348,88
"250250924005",16,18,34,368,204,6
"250251001002",6,154,124,396,362,90
"250251001003",12,26,124,184,178,136
"250251001004",8,110,170,480,108,32
"250251002001",28,90,188,334,378,64
"250251002002",6,98,160,402,258,712
"250251002003",10,102,124,218,180,140
"250251003001",30,54,610,408,294,280
"250251003002",6,44,82,148,58,8
"250251003003",8,178,344,232,94,120
"250251004001",44,300,578,412,370,90
"250251004002",22,246,184,68,28,18
"250251004003",8,10,4,72,20,26
"250251004004",14,228,360,368,422,104
"250251005001",12,56,106,84,176,28
"250251005004",24,64,292,164,426,226
"250251005005",14,92,434,346,428,136
"250251006012",4,20,34,94,42,8
"250251006013",8,92,136,130,262,48
"250251006031",12,152,134,302,364,118
"250251006032",4,108,30,108,126,38
"250251007003",2,18,4,48,66,6
"250251007005",6,20,22,34,2,NA
"250251008001",2,32,92,42,64,18
"250251008002",8,74,340,430,98,6
"250251008003",4,26,26,22,38,20
"250251008005",4,30,38,34,48,4
"250251008006",6,52,30,170,76,8
"250251009003",2,102,122,100,82,32
"250251009005",8,56,94,74,424,24
"250251010011",4,22,100,48,114,10
"250251010014",6,176,1124,1700,452,126
"250251010016",4,138,792,202,90,54
"250251010022",14,74,462,210,336,32
"250251010023",10,288,768,634,480,136
"250251011011",4,86,892,638,56,94
"250251011021",22,600,1116,916,572,232
"250251011022",48,414,820,846,462,196
"250251011023",6,160,282,390,254,58
"250251101035",4,230,190,340,288,66
"250251101036",2,22,18,74,34,22
"250251101037",2,176,252,54,98,108
"250251104011",2,372,1176,552,270,118
"250251104012",2,24,80,172,90,30
"250251105021",2,58,212,82,168,44
"250251105023",6,48,38,4,4,20
"250251106072",4,30,46,24,46,22
"250251201043",2,14,76,34,10,NA
"250251202013",6,22,268,70,100,122
