"GEOID10","permit_count.2009","permit_count.2010","permit_count.2011","permit_count.2012"
"250250001001",8,428,826,458
"250250001002",2,80,98,88
"250250001003",4,74,74,56
"250250002011",4,122,122,72
"250250002012",4,90,64,38
"250250002013",14,134,136,82
"250250002021",8,196,158,122
"250250002022",2,128,80,68
"250250002023",6,62,96,52
"250250002024",2,16,8,10
"250250003011",4,100,116,66
"250250003012",4,102,108,62
"250250003013",6,102,84,36
"250250003014",8,70,118,98
"250250003021",4,140,234,112
"250250003022",8,104,140,102
"250250004013",4,56,96,64
"250250004014",12,174,110,110
"250250004021",12,190,122,88
"250250004022",2,104,182,118
"250250004023",6,156,164,82
"250250005021",6,126,62,130
"250250005023",2,48,68,84
"250250006012",4,214,174,82
"250250006013",2,38,72,64
"250250006021",6,82,96,108
"250250006022",6,154,134,98
"250250006023",6,332,296,178
"250250007012",4,30,24,28
"250250007031",4,58,90,82
"250250007032",2,144,140,84
"250250007041",6,118,210,160
"250250008021",4,114,130,140
"250250008022",12,262,276,190
"250250008023",4,82,40,34
"250250008024",2,180,240,184
"250250008025",2,88,56,96
"250250008031",12,142,246,126
"250250101031",2,142,292,194
"250250101032",12,54,84,130
"250250101033",4,188,340,176
"250250101041",6,164,188,286
"250250101042",4,186,94,164
"250250101043",2,102,142,144
"250250102032",12,214,250,314
"250250102033",4,104,214,146
"250250102034",14,304,274,310
"250250102042",2,92,96,114
"250250103001",2,174,174,184
"250250103002",40,796,1154,804
"250250104031",2,58,72,90
"250250104032",8,156,124,194
"250250104033",2,40,116,70
"250250104041",12,128,136,256
"250250104042",2,82,38,104
"250250104043",2,34,56,88
"250250104051",10,350,472,368
"250250104052",8,188,220,100
"250250104053",4,42,30,26
"250250104081",2,42,84,108
"250250105001",4,306,382,234
"250250105002",14,144,74,126
"250250105003",2,122,88,112
"250250106001",30,978,1490,980
"250250106002",4,440,528,420
"250250107011",6,380,434,366
"250250107012",2,168,204,186
"250250107013",8,376,342,328
"250250107021",34,1306,1596,1322
"250250107022",2,142,216,232
"250250107023",10,284,442,568
